,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
0,Max Aarons,eng ENG,DF,Norwich City,eng Premier League,21,2000,32,64,44,49,15,0,37,55,67.3,18,39,19,20,28,92,96,1,0,13,2,15.4,0.41,0.06,0,0,19.9,0,0,0,0.9,0.9,0.07,-0.9,-0.9,46,1.44,34,3,2,3,3,1,3,0.09,3,0,0,0,0,0,1107,1469,75.4,16588,6133,645,713,90.5,383,511,75,57,160,35.6,2,1.6,1.7,0.4,20,50,37,9,86,34,32,2881,0,8,0,0,0.06,0.06,0,0.06,2.5,0.03,0.05,0.08,0.03,0.08,1130,332,17,5,4,50,315,0,0,0,0,7,40,1817,159,712,696,434,23,1817,34,68,50,38,23,1018,40,0,27,52,1,44,0,2,1,154,13,50,20.6
1,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,33,1987,33.1,48,27,34,14,0,16,32,50,16,50,25,25,68,116,104,0,2,18,6,33.3,0.54,0.18,0.11,0.33,18.3,0,0,0,1.5,1.5,0.08,0.5,0.5,22,0.66,17,0,2,1,0,2,1,0.03,1,0,0,0,0,0,1284,1578,81.4,25516,9586,415,469,88.5,715,787,90.9,145,266,54.5,0,0.9,0.6,-0.9,9,95,7,0,96,34,34,2983,2,5,1,0.06,0,0.06,0.06,0.06,2.4,0.04,0.03,0.07,0.04,0.07,1471,101,89,0,32,4,9,0,0,0,0,6,26,1906,212,1012,839,84,24,1906,14,18,77.8,28,13,1199,10,0,39,25,0,27,0,1,0,195,62,38,62
2,Salis Abdul Samed,gh GHA,MF,Clermont Foot,fr Ligue 1,21,2000,27.4,43,23,25,16,2,20,57,35.1,37,18,1,17,42,85,15,0,1,18,5,27.8,0.66,0.18,0.06,0.2,21.5,0,0,0,1.1,1.1,0.06,-0.1,-0.1,50,1.83,41,0,0,4,4,1,3,0.11,3,0,0,0,0,0,1535,1701,90.2,25518,5456,748,805,92.9,655,699,93.7,108,129,83.7,0,1,0.8,-1,17,87,13,1,80,31,29,2462,1,12,3,0.04,0,0.04,0.04,0.04,2,0.04,0.04,0.07,0.04,0.07,1678,21,17,1,3,14,4,0,0,0,0,2,29,1943,39,562,1140,257,15,1943,26,41,63.4,42,30,1477,41,2,43,37,0,23,0,0,0,186,17,20,45.9
3,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,28,1993,32.8,110,60,44,53,13,71,166,42.8,95,58,1,57,55,165,13,0,0,29,7,24.1,0.88,0.21,0,0,24.2,0,0,0,2.1,2.1,0.07,-2.1,-2.1,83,2.53,67,2,3,1,7,3,9,0.27,8,0,0,0,1,0,1341,1659,80.8,23753,6845,605,678,89.2,535,620,86.3,152,236,64.4,2,4.4,2.6,-2.4,35,147,23,9,126,34,34,2956,0,9,0,0,0.06,0.06,0,0.06,6.4,0.06,0.13,0.2,0.06,0.2,1616,35,25,7,21,37,8,2,0,1,0,8,48,2020,24,405,1286,358,14,2020,39,61,63.9,52,40,1402,59,0,41,69,1,60,0,0,0,264,11,7,61.1
4,Charles Abi,fr FRA,FW,Saint-Étienne,fr Ligue 1,21,2000,0.5,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,7,42.9,46,0,2,3,66.7,1,3,33.3,0,0,,0,0,0,0,0,0,0,0,0,1,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,12,0,0,5,8,1,12,0,0,,3,0,8,3,0,1,0,0,0,0,0,0,1,0,0,
5,Dickson Abiama,ng NGA,FW,Greuther Fürth,de Bundesliga,22,1998,8.1,11,7,4,5,2,2,10,20,8,12,1,11,4,15,8,0,0,18,4,22.2,2.23,0.5,0,0,16.7,0,0,0,2.1,2.1,0.12,-2.1,-2.1,15,1.85,10,0,0,2,2,1,2,0.25,1,0,0,1,0,0,84,137,61.3,1009,278,53,78,67.9,23,36,63.9,1,3,33.3,1,1.4,0.6,-0.4,7,5,6,0,15,24,5,726,0,3,0,0,0.12,0.12,0,0.12,3.5,0.26,0.17,0.43,0.26,0.43,129,6,0,2,0,3,0,0,0,0,0,2,6,243,6,24,106,114,23,243,7,20,35,29,10,156,35,0,17,11,15,7,0,0,0,28,19,30,38.8
6,Matthis Abline,fr FRA,FW,Rennes,fr Ligue 1,18,2003,1.1,0,0,0,0,0,0,0,,0,2,0,2,0,0,1,0,0,2,0,0,1.75,0,0,,9.5,0,0,0,0.6,0.6,0.28,-0.6,-0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,9,77.8,72,15,5,7,71.4,1,1,100,0,0,,0,0,0,0,0,0,1,0,1,7,1,103,0,0,0,0,0,0,0,0,0.6,0.49,0,0.49,0.49,0.49,9,0,0,0,0,0,0,0,0,0,0,0,0,18,1,1,5,12,3,18,3,6,50,1,3,11,5,0,2,1,0,0,0,0,0,0,0,7,0
7,Tammy Abraham,eng ENG,FW,Roma,it Serie A,23,1997,34.3,27,13,7,14,6,9,22,40.9,13,17,3,14,5,32,27,0,17,92,35,38,2.68,1.02,0.15,0.4,12.9,3,3,3,19.2,16.8,0.18,-2.2,-2.8,94,2.74,62,1,6,17,7,1,14,0.41,6,0,2,3,3,0,485,696,69.7,6820,1622,293,401,73.1,134,180,74.4,28,39,71.8,4,4.9,2.4,-0.9,38,35,27,3,53,37,36,3084,14,9,0,0.5,0.12,0.61,0.41,0.53,21.8,0.56,0.14,0.7,0.49,0.63,627,67,6,5,1,16,2,0,0,0,0,2,20,1050,32,73,499,488,173,1047,38,77,49.4,86,41,731,187,0,38,49,17,13,1,1,0,68,78,80,49.4
8,Luis Abram,pe PER,DF,Granada,es La Liga,25,1996,6.2,6,3,3,3,0,2,4,50,2,6,5,1,5,11,37,1,0,2,0,0,0.32,0,0,,9,0,0,0,0.2,0.2,0.12,-0.2,-0.2,3,0.48,1,0,0,2,0,0,1,0.16,0,0,0,1,0,0,191,226,84.5,3666,1177,56,67,83.6,113,119,95,18,28,64.3,0,0,0,0,0,8,0,0,7,8,6,560,0,2,0,0,0,0,0,0,0.2,0.04,0,0.04,0.04,0.04,216,9,5,0,0,0,2,0,0,0,0,1,4,285,45,178,105,5,4,285,0,0,,0,0,180,1,0,5,4,0,3,0,0,1,14,7,14,33.3
9,Francesco Acerbi,it ITA,DF,Lazio,it Serie A,33,1988,28.2,25,12,15,9,1,12,19,63.2,7,37,28,9,34,59,92,0,4,15,7,46.7,0.53,0.25,0.27,0.57,10.8,0,0,0,2.2,2.2,0.15,1.8,1.8,17,0.61,13,1,0,1,2,0,2,0.07,1,0,0,0,1,0,1837,2043,89.9,34996,12274,678,731,92.7,919,968,94.9,211,296,71.3,0,0.7,0.8,-0.7,5,119,6,0,78,30,29,2536,4,2,1,0.14,0,0.14,0.14,0.14,2.9,0.08,0.02,0.1,0.08,0.1,1955,87,77,1,34,3,1,0,0,0,0,1,6,2289,267,1098,1141,59,22,2289,4,6,66.7,13,4,1641,10,0,18,16,4,12,1,0,0,162,69,43,61.6
10,Ragnar Ache,de GER,"MF,FW",Eint Frankfurt,de Bundesliga,23,1998,2.9,2,0,0,1,1,1,4,25,3,3,0,3,0,2,1,0,0,10,2,20,3.47,0.69,0,0,16.1,0,0,0,0.6,0.6,0.06,-0.6,-0.6,8,2.78,4,0,1,2,1,0,1,0.35,0,0,0,1,0,0,37,64,57.8,481,117,22,32,68.8,10,18,55.6,1,3,33.3,1,0.5,0.3,0.5,3,3,3,2,2,13,1,259,0,0,0,0,0.35,0.35,0,0.35,1.1,0.2,0.18,0.38,0.2,0.38,61,2,0,0,1,6,2,0,0,0,0,1,4,113,1,7,45,62,16,113,6,11,54.5,16,9,96,25,0,5,8,6,0,0,0,0,7,18,10,64.3
11,Mohamed Achi,fr FRA,MF,Nantes,fr Ligue 1,19,2002,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,66.7,102,10,1,1,100,3,6,50,1,1,100,0,0,0,0,0,0,0,0,1,1,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,9,0,2,5,2,0,9,0,0,,0,0,8,0,0,0,0,0,0,0,0,0,2,0,0,
12,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,29,1991,25.1,50,29,27,14,9,30,47,63.8,17,22,5,17,14,64,25,1,1,16,5,31.3,0.64,0.2,0.06,0.2,21.7,1,0,0,1.5,1.5,0.09,-0.5,-0.5,75,2.99,48,19,2,3,3,0,3,0.12,1,2,0,0,0,0,1543,1963,78.6,29328,10206,662,722,91.7,640,767,83.4,219,392,55.9,3,3.5,4.1,-0.5,43,115,43,27,104,31,26,2260,1,10,0,0.04,0.12,0.16,0.04,0.16,5,0.06,0.14,0.2,0.06,0.2,1624,333,63,3,30,178,230,40,0,31,0,6,30,2169,53,635,955,610,18,2169,44,66,66.7,38,27,1467,66,0,38,48,0,29,0,1,0,173,22,32,40.7
13,Che Adams,sct SCO,FW,Southampton,eng Premier League,25,1996,22.7,13,6,5,5,3,2,16,12.5,14,18,2,16,8,21,18,0,7,49,24,49,2.16,1.06,0.14,0.29,13.3,0,0,0,7.7,7.7,0.16,-0.7,-0.7,51,2.25,32,0,2,4,11,2,5,0.22,3,0,1,0,0,1,304,472,64.4,4188,1017,188,256,73.4,73,106,68.9,18,34,52.9,3,3.2,1.7,-0.2,26,24,10,0,29,30,23,2039,7,0,0,0.31,0.13,0.44,0.31,0.44,10.9,0.34,0.14,0.48,0.34,0.48,468,2,0,4,5,8,1,0,0,0,0,2,22,713,22,84,293,341,93,713,20,35,57.1,59,34,536,143,0,29,40,7,6,0,0,0,70,62,91,40.5
14,Tyler Adams,us USA,MF,RB Leipzig,de Bundesliga,22,1999,15,23,7,5,16,2,7,25,28,18,24,1,23,16,39,19,2,0,2,0,0,0.13,0,0,,21.6,0,0,0,0.3,0.3,0.13,-0.3,-0.3,26,1.73,23,1,1,1,0,0,4,0.27,4,0,0,0,0,0,794,918,86.5,11903,3451,424,460,92.2,278,307,90.6,49,71,69,1,0.8,1.4,0.2,7,85,8,0,65,24,12,1351,0,5,0,0,0.07,0.07,0,0.07,1.1,0.02,0.06,0.07,0.02,0.07,882,32,16,1,0,2,14,0,0,0,0,4,15,1061,28,187,735,150,10,1061,13,23,56.5,20,9,748,17,0,19,15,0,7,0,0,0,85,20,10,66.7
15,Sargis Adamyan,am ARM,"FW,MF",Hoffenheim,de Bundesliga,28,1993,3.7,8,6,3,4,1,3,11,27.3,8,4,0,4,1,9,2,0,1,3,2,66.7,0.82,0.54,0.33,0.5,17.2,0,0,0,0.4,0.4,0.15,0.6,0.6,11,2.98,8,0,2,0,0,1,1,0.27,1,0,0,0,0,0,73,101,72.3,991,255,44,57,77.2,28,35,80,0,3,0,0,0.5,0.5,-0.5,4,5,4,2,6,13,2,331,1,0,0,0.27,0,0.27,0.27,0.27,0.9,0.12,0.13,0.25,0.12,0.25,95,5,0,0,0,5,5,0,0,0,0,1,3,146,2,17,69,64,9,146,6,12,50,12,5,94,22,0,5,8,4,6,0,0,0,24,3,14,17.6
16,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,17,2003,3.9,15,11,5,8,2,8,16,50,8,0,0,0,11,26,6,0,0,4,1,25,1.02,0.26,0,0,11.8,0,0,0,0.4,0.4,0.09,-0.4,-0.4,10,2.56,8,0,1,0,0,1,0,0,0,0,0,0,0,0,107,147,72.8,1681,608,51,63,81,39,47,83,9,14,64.3,0,0.4,0.2,-0.4,3,8,3,0,11,8,2,352,0,1,0,0,0,0,0,0,0.8,0.09,0.11,0.2,0.09,0.2,138,8,4,0,0,11,0,4,0,4,0,1,12,194,8,43,91,64,7,194,6,9,66.7,8,6,98,10,0,16,2,0,11,0,0,0,35,3,5,37.5
17,Amine Adli,fr FRA,"FW,MF",Leverkusen,de Bundesliga,21,2000,14,27,14,10,14,3,8,15,53.3,7,26,2,24,11,38,12,0,3,37,19,51.4,2.65,1.36,0.08,0.16,15.1,0,0,0,4.8,4.8,0.13,-1.8,-1.8,49,3.51,39,1,3,4,2,0,6,0.43,5,0,0,1,0,0,376,516,72.9,5007,1529,219,272,80.5,125,166,75.3,9,18,50,2,2,1.5,0,14,27,19,4,49,25,13,1256,3,3,0,0.21,0.14,0.36,0.21,0.36,6.8,0.34,0.15,0.49,0.34,0.49,494,17,1,6,0,21,11,1,0,0,0,5,27,722,9,114,345,278,57,722,21,37,56.8,47,18,523,81,0,27,28,8,14,0,0,0,62,12,29,29.3
18,Yacine Adli,fr FRA,"MF,FW",Bordeaux,fr Ligue 1,21,2000,25.1,43,27,22,14,7,19,68,27.9,49,33,3,30,37,80,11,2,1,32,15,46.9,1.27,0.6,0.03,0.07,21.2,4,0,0,2.3,2.3,0.07,-1.3,-1.3,121,4.82,81,22,6,3,5,4,18,0.72,13,3,1,0,1,0,906,1251,72.4,17505,6047,410,480,85.4,310,407,76.2,157,279,56.3,7,6.2,4.3,0.8,59,122,36,4,130,36,25,2260,1,5,0,0.04,0.28,0.32,0.04,0.32,8.6,0.09,0.25,0.34,0.09,0.34,1105,138,48,11,30,114,12,68,38,17,1,8,25,1519,16,265,789,485,45,1519,46,80,57.5,59,47,1045,72,0,21,27,4,27,0,0,0,150,12,19,38.7
19,Michel Aebischer,ch SUI,MF,Bologna,it Serie A,24,1997,4.9,14,5,5,8,1,6,11,54.5,5,4,1,3,6,20,3,0,0,2,2,100,0.41,0.41,0,0,22.7,0,0,0,0.1,0.1,0.07,-0.1,-0.1,10,2.05,9,1,0,0,0,0,0,0,0,0,0,0,0,0,205,239,85.8,3121,883,105,113,92.9,78,84,92.9,12,22,54.5,0,0.5,0.3,-0.5,6,14,4,1,15,12,4,443,0,1,0,0,0,0,0,0,0.6,0.03,0.1,0.12,0.03,0.12,225,13,5,0,1,7,1,7,0,4,0,1,5,285,11,64,169,55,8,285,1,4,25,9,5,196,7,0,13,4,0,5,0,0,0,27,5,4,55.6
20,Felix Afena-Gyan,gh GHA,"FW,MF",Roma,it Serie A,18,2003,7.4,10,3,1,6,3,4,7,57.1,3,4,0,4,3,13,0,0,2,17,7,41.2,2.29,0.94,0.12,0.29,16.1,0,0,0,1.5,1.5,0.09,0.5,0.5,23,3.1,14,0,2,2,5,0,2,0.27,1,0,1,0,0,0,114,152,75,1530,229,67,81,82.7,34,45,75.6,6,7,85.7,0,0.7,0.2,-0.7,6,4,4,1,6,17,6,668,2,5,1,0.27,0,0.27,0.27,0.27,2.2,0.2,0.1,0.3,0.2,0.3,145,7,0,0,2,8,5,0,0,0,0,0,4,271,0,17,90,170,38,271,5,20,25,42,21,207,55,1,15,24,4,3,0,0,0,31,11,15,42.3
21,Martin Agirregabiria,es ESP,DF,Alavés,es La Liga,25,1996,18,34,22,17,11,6,18,37,48.6,19,20,3,17,25,59,38,0,0,4,0,0,0.22,0,0,,19.1,0,0,0,0.2,0.2,0.06,-0.2,-0.2,32,1.78,25,3,2,0,2,0,3,0.17,2,0,1,0,0,0,547,792,69.1,9008,4537,279,349,79.9,216,294,73.5,44,110,40,1,0.6,0.7,0.4,14,51,20,12,47,24,17,1616,0,4,0,0,0.06,0.06,0,0.06,0.9,0.01,0.04,0.05,0.01,0.05,610,179,6,0,5,45,172,1,0,0,0,3,16,950,42,292,444,226,12,950,14,19,73.7,22,8,462,21,0,24,22,1,22,0,1,0,79,31,27,53.4
22,Julen Agirrezabala,es ESP,GK,Athletic Club,es La Liga,20,2000,4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,62,82,75.6,1721,1230,11,11,100,34,34,100,17,37,45.9,0,0,0,0,0,1,0,0,0,4,4,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,33,7,0,0,0,0,0,0,0,0,0,0,92,73,92,0,0,0,92,0,0,,0,0,23,0,0,0,0,0,0,0,0,0,6,0,0,
23,Lucien Agoume,fr FRA,MF,Brest,fr Ligue 1,19,2002,20.8,51,31,24,20,7,23,45,51.1,22,29,9,20,52,103,27,1,0,15,1,6.7,0.72,0.05,0,0,11.9,0,0,0,1.3,1.2,0.08,-1.3,-1.2,35,1.69,28,1,1,4,1,0,2,0.1,2,0,0,0,0,0,836,996,83.9,15009,4514,371,417,89,328,377,87,112,141,79.4,0,0.9,0.6,-0.9,13,86,8,0,79,27,21,1868,0,6,0,0,0,0,0,0,2.1,0.06,0.05,0.11,0.06,0.1,955,38,30,0,10,5,0,1,0,1,0,3,20,1206,55,352,666,204,30,1206,22,32,68.8,19,17,738,27,0,31,14,0,31,0,1,0,149,26,29,47.3
24,Kevin Agudelo,co COL,"MF,FW",Spezia,it Serie A,22,1998,13.7,44,26,13,26,5,7,20,35,13,22,0,22,8,52,6,0,3,21,11,52.4,1.53,0.8,0.14,0.27,17.2,0,0,0,2,2,0.1,1,1,40,2.91,22,0,6,4,4,4,3,0.22,1,0,0,0,0,2,280,389,72,3788,1163,165,211,78.2,90,108,83.3,7,20,35,1,1.1,0.7,-0.1,10,33,11,1,32,23,12,1237,3,2,1,0.22,0.07,0.29,0.22,0.29,3.1,0.15,0.08,0.23,0.15,0.23,375,11,1,0,1,22,4,4,3,1,0,3,22,574,10,71,257,263,33,574,28,51,54.9,40,37,367,46,0,36,24,0,26,0,0,0,67,15,14,51.7
25,Nayef Aguerd,ma MAR,DF,Rennes,fr Ligue 1,25,1996,30.4,27,18,16,11,0,14,24,58.3,10,24,14,10,24,51,127,1,2,25,7,28,0.82,0.23,0.08,0.29,9.4,0,0,0,2.5,2.5,0.1,-0.5,-0.5,15,0.49,10,0,0,4,1,0,4,0.13,3,0,0,0,1,0,1959,2204,88.9,40414,15329,613,660,92.9,1050,1106,94.9,277,398,69.6,2,0.3,0.3,1.7,4,118,2,0,83,31,31,2735,2,3,1,0.07,0.07,0.13,0.07,0.13,2.9,0.08,0.01,0.1,0.08,0.1,2127,74,69,2,41,1,5,0,0,0,0,3,12,2471,221,1146,1273,59,34,2471,5,6,83.3,7,4,1847,0,0,20,16,1,18,1,2,0,154,95,51,65.1
26,Sergio Agüero,ar ARG,FW,Barcelona,es La Liga,33,1988,1.7,1,1,0,0,1,0,2,0,2,0,0,0,0,1,0,0,1,6,1,16.7,3.58,0.6,0.17,1,12,0,0,0,1.2,1.2,0.19,-0.2,-0.2,3,1.78,3,0,0,0,0,0,0,0,0,0,0,0,0,0,30,42,71.4,396,45,14,20,70,12,15,80,0,0,,0,0.2,0.2,-0.2,1,3,0,0,2,4,2,151,1,0,0,0.6,0,0.6,0.6,0.6,1.4,0.69,0.11,0.8,0.69,0.8,40,2,0,0,0,3,0,0,0,0,0,0,0,57,0,1,26,31,15,57,1,2,50,4,1,51,9,0,1,2,1,1,0,0,0,3,3,2,60
27,Ruben Aguilar,fr FRA,DF,Monaco,fr Ligue 1,28,1993,23.8,78,53,39,32,7,43,68,63.2,25,19,4,15,44,122,57,0,0,10,2,20,0.42,0.08,0,0,22.8,0,0,0,0.5,0.5,0.05,-0.5,-0.5,32,1.35,25,3,1,1,2,0,4,0.17,3,1,0,0,0,0,1435,1728,83,23194,8766,745,806,92.4,559,658,85,93,178,52.2,2,1.6,2.9,0.4,12,124,32,5,113,28,22,2140,0,4,0,0,0.08,0.08,0,0.08,2.1,0.02,0.07,0.09,0.02,0.09,1445,277,34,4,16,64,242,1,0,1,0,6,27,1975,77,507,1008,478,27,1975,5,11,45.5,31,5,1185,56,0,32,29,1,53,0,0,1,157,33,40,45.2
28,Álvaro Aguirre,es ESP,FW,Rayo Vallecano,es La Liga,21,2000,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,100,35,0,3,3,100,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,4,0,1,2,1,0,4,0,0,,1,0,2,0,0,0,0,0,0,0,0,0,2,0,0,
29,Naouirou Ahamada,fr FRA,"MF,DF",Stuttgart,de Bundesliga,19,2002,0.7,1,0,1,0,0,1,3,33.3,2,0,0,0,0,1,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,32,87.5,501,62,14,15,93.3,10,11,90.9,4,6,66.7,0,0,0,0,0,1,0,0,3,3,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,38,0,5,27,6,0,38,0,0,,3,0,31,1,0,2,1,0,0,0,0,0,4,1,3,25
30,Anel Ahmedhodzic,ba BIH,DF,Bordeaux,fr Ligue 1,22,1999,15,38,26,27,9,2,20,31,64.5,11,16,8,8,22,60,44,0,0,8,4,50,0.53,0.27,0,0,16,0,0,0,0.5,0.5,0.06,-0.5,-0.5,20,1.33,16,1,0,2,0,1,2,0.13,2,0,0,0,0,0,766,858,89.3,14146,4562,310,333,93.1,353,381,92.7,89,120,74.2,1,1,0.4,0,11,39,5,1,54,15,15,1350,0,6,0,0,0.07,0.07,0,0.07,1.5,0.03,0.07,0.1,0.03,0.1,826,31,23,0,7,6,8,0,0,0,0,1,3,1006,94,459,494,60,13,1006,1,4,25,8,5,667,10,0,21,10,0,26,0,0,0,108,18,13,58.1
31,Jean-Eudes Aholou,ci CIV,MF,Strasbourg,fr Ligue 1,27,1994,11.2,16,9,4,9,3,5,19,26.3,14,8,1,7,19,35,7,0,1,17,2,11.8,1.52,0.18,0.06,0.5,21.2,0,0,0,2.2,2.2,0.13,-1.2,-1.2,23,2.06,19,0,1,1,1,1,3,0.27,3,0,0,0,0,0,339,412,82.3,5149,1077,164,191,85.9,131,147,89.1,21,37,56.8,1,0.9,1,0.1,6,23,9,1,29,25,11,1004,1,2,0,0.09,0.09,0.18,0.09,0.18,3.1,0.19,0.08,0.28,0.19,0.28,404,8,8,1,2,6,0,0,0,0,0,0,11,536,11,83,317,145,17,536,11,23,47.8,21,10,339,31,0,21,20,0,9,0,0,0,77,14,5,73.7
32,Joseph Aidoo,gh GHA,DF,Celta Vigo,es La Liga,25,1995,29.3,39,26,28,10,1,17,31,54.8,14,23,13,10,38,77,96,3,0,6,1,16.7,0.2,0.03,0,0,13.3,0,0,0,0.5,0.5,0.08,-0.5,-0.5,16,0.55,15,0,0,1,0,0,2,0.07,2,0,0,0,0,0,1270,1567,81,26020,8332,359,420,85.5,740,830,89.2,159,278,57.2,0,0.5,0.5,-0.5,6,101,5,1,81,32,30,2637,0,1,0,0,0,0,0,0,0.9,0.02,0.02,0.03,0.02,0.03,1531,32,13,1,11,3,19,0,0,0,0,4,9,1827,196,893,895,48,12,1827,9,11,81.8,14,6,1161,3,0,10,18,1,26,0,0,1,164,62,47,56.9
33,Ola Aina,ng NGA,DF,Torino,it Serie A,24,1996,16,27,19,11,10,6,15,23,65.2,8,17,3,14,28,55,30,0,0,10,4,40,0.63,0.25,0,0,23.6,0,0,0,0.4,0.4,0.04,-0.4,-0.4,37,2.32,29,2,3,0,3,0,1,0.06,1,0,0,0,0,0,535,755,70.9,8693,3540,272,316,86.1,202,280,72.1,44,93,47.3,0,1.6,1.4,-1.6,16,43,20,4,52,21,17,1437,0,4,0,0,0,0,0,0,2,0.02,0.1,0.12,0.02,0.12,600,151,9,1,0,34,142,0,0,0,0,4,30,931,48,225,435,285,26,931,18,40,45,32,10,524,40,0,18,28,1,19,0,0,0,101,17,25,40.5
34,Rayan Aït Nouri,fr FRA,"DF,MF",Wolves,eng Premier League,20,2001,20.3,64,36,46,15,3,22,44,50,22,24,2,22,22,86,39,1,1,13,4,30.8,0.64,0.2,0.08,0.25,17.6,0,0,0,0.8,0.8,0.06,0.2,0.2,45,2.22,30,8,4,0,2,1,6,0.3,4,1,0,0,1,0,763,1025,74.4,12151,4064,418,472,88.6,273,361,75.6,54,141,38.3,2,1.4,1.1,0.6,17,28,14,10,37,23,20,1828,1,4,0,0.05,0.1,0.15,0.05,0.15,2.2,0.04,0.07,0.11,0.04,0.11,811,211,10,1,7,96,172,29,11,16,0,3,19,1281,50,457,452,392,40,1281,42,81,51.9,44,27,730,60,0,14,20,3,36,1,0,0,128,17,13,56.7
35,Kristoffer Ajer,no NOR,DF,Brentford,eng Premier League,23,1998,22.2,29,18,21,6,2,13,21,61.9,8,19,11,8,26,55,74,0,1,7,1,14.3,0.32,0.05,0.14,1,8.8,0,0,0,0.8,0.8,0.12,0.2,0.2,33,1.5,22,6,2,1,1,1,7,0.32,3,1,2,0,1,0,627,892,70.3,10133,4739,303,372,81.5,255,342,74.6,47,105,44.8,3,2.2,1.8,0.8,8,41,13,2,66,24,23,1995,1,5,0,0.05,0.14,0.18,0.05,0.18,3.1,0.04,0.1,0.14,0.04,0.14,734,154,6,2,3,17,148,0,0,0,0,4,28,1089,107,442,479,178,31,1089,13,18,72.2,25,7,526,16,0,12,16,0,18,0,0,0,109,49,31,61.3
