,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklWon,Tkl_Def_3rd,Tkl_Mid_3rd,Tkl_Att_3rd,Dribbler_Tkl,Tkl_Att,Tkl%,Dribbled_past,Total_blocks,Shots_Blocked,Passes_Blocked,Int,Tkl+Int,Clr,Err,Gls,Total_shots,SoT,SoT%,shots/90,SoT/90,G/Sh,G/SoT,avg_shot_distance,freekick_shots,PK_scored,PKatt,xG,npxG,npxG/Sh,G-xG,npG-npxG,SCA,SCA90,live_pass_to_shot,dead_pass_to_shot,Drib_to_shot,Shot_to_shot,Foul_drawn_to_shot,Def_action_to_shot,GCA,GCA90,live_pass_to_goal,dead_pass_to_goal,Drib_to_goal,Shot_to_goal,Foul_drawn_to_goal,Def_action_to_goal,passes_cmp,passes_att,passes_cmp%,Pass_total_dist,Prg_pass_dist,pass_5_15_cmp,pass_5_15_att,pass_5_15_cmp%,pass_15_30_cmp,pass_15_30_att,pass_15_30_cmp%,pass_30_cmp,pass_30_att,pass_30_cmp%,Ast,xAG,xA,A-xAG,direct_pass_to_shot,pass_into_att_3rd,pass_cmp_into_18_yards,cross_cmp_into_18_yards,prg_pass_opponent_area,MP,Starts,Min,G-PK,CrdY,CrdR,Gls90,Ast90,G+A90,G-PK90,G+A-PK90,npxG+xAG,xG90,xAG90,xG+xAG90,npxG90,npxG+xAG.1,Live_ball_passes,Dead_ball_passes,FK_pass,pass_betn_defender,pass_40_yards,Crs,Thrown_Ins,CK,Inswinging_CK,Outswinging_CK,Straight_CK,offiside_passes,pass_blocked_by_opponent,Touches,Touches_def_penalty_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_penalty_area,Touches_live_ball,Dribble_succ,Dribble_att,Dribble_succ%,failed_ball_control,lost_ball_after_tackle,received_pass_successfully,prog_pass_received,2CrdY,Foul_commited,Foul_drawn,Offsides,Tackles_to_win_possession,PKwon,PKcon,OG,recovered_balls,Aerial_duel_won,Aerial_duel_lost,Aerial_duel_won%
2390,Morgan Sanson,fr FRA,MF,Aston Villa,eng Premier League,26,1994,4,12,8,7,2,3,3,7,42.9,4,13,0,13,10,22,2,1,0,1,0,0,0.25,0,0,,33.2,0,0,0,0,0,0.03,0,0,2,0.51,2,0,0,0,0,0,0,0,0,0,0,0,0,0,123,162,75.9,1851,506,72,78,92.3,40,53,75.5,6,15,40,0,0,0.1,0,1,18,1,1,12,10,3,356,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.02,0.01,0.02,160,2,1,3,0,8,1,0,0,0,0,0,7,223,6,43,140,48,1,223,13,16,81.3,5,10,141,7,0,3,13,0,8,0,0,0,33,3,6,33.3
2391,Nicola Sansone,it ITA,"FW,MF",Bologna,it Serie A,29,1991,10,13,7,5,6,2,3,15,20,12,1,0,1,4,17,2,0,2,24,6,25,2.41,0.6,0.08,0.33,20.5,1,0,0,3.5,3.5,0.14,-1.5,-1.5,37,3.72,18,10,1,5,3,0,6,0.6,2,1,0,1,2,0,236,336,70.2,3516,1020,126,152,82.9,65,91,71.4,23,50,46,3,2.5,1.9,0.5,16,15,12,8,16,27,6,896,2,6,0,0.2,0.3,0.5,0.2,0.5,6,0.35,0.25,0.6,0.35,0.6,287,49,18,4,1,52,4,25,16,4,0,0,10,439,3,59,167,218,25,439,14,34,41.2,23,15,322,47,0,16,21,6,7,2,0,0,52,7,18,28
2392,Baptiste Santamaria,fr FRA,"MF,DF",Rennes,fr Ligue 1,26,1995,28,52,27,15,31,6,24,44,54.5,20,33,12,21,32,84,42,0,2,34,7,20.6,1.22,0.25,0.06,0.29,18,0,0,0,2.9,2.9,0.09,-0.9,-0.9,44,1.57,41,0,0,2,0,1,8,0.29,7,0,0,1,0,0,1337,1551,86.2,25468,6476,523,590,88.6,593,649,91.4,188,244,77,1,1.1,1,-0.1,17,113,13,3,85,34,28,2518,2,7,0,0.07,0.04,0.11,0.07,0.11,4,0.1,0.04,0.14,0.1,0.14,1525,23,18,2,21,15,5,0,0,0,0,3,17,1845,79,466,1126,269,32,1845,18,39,46.2,32,18,1278,30,0,35,21,0,27,0,1,0,156,74,41,64.3
2393,Baptiste Santamaria,fr FRA,MF,Freiburg,de Bundesliga,26,1995,0.2,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,4.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,33.3,8,0,1,3,33.3,0,0,,0,0,,0,0,0,0,0,0,0,0,0,1,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,3,3,1,3,0,7,0,0,,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,
2394,Federico Santander,py PAR,"FW,DF",Bologna,it Serie A,30,1991,0.7,2,1,1,1,0,1,1,100,0,0,0,0,0,2,0,0,1,2,1,50,2.69,1.34,0.5,1,13.3,0,0,0,0.5,0.5,0.25,0.5,0.5,3,4.03,3,0,0,0,0,0,0,0,0,0,0,0,0,0,17,29,58.6,242,48,10,16,62.5,5,6,83.3,1,1,100,0,0.1,0.1,-0.1,1,2,1,0,4,7,0,67,1,1,0,1.34,0,1.34,1.34,1.34,0.6,0.68,0.09,0.78,0.68,0.78,27,2,0,0,0,1,0,0,0,0,0,0,1,35,1,2,16,19,4,35,0,2,0,1,3,32,9,0,2,5,0,1,0,0,0,3,8,7,53.3
2395,Jesús Santiago,es ESP,MF,Valencia,es La Liga,17,2004,0.9,2,2,1,1,0,0,2,0,2,1,0,1,0,2,1,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,1.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,28,35,80,432,139,12,15,80,10,12,83.3,3,5,60,0,0,0,0,0,1,0,0,1,3,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,2,0,0,0,0,0,0,0,0,0,0,0,41,2,6,25,10,0,41,0,1,0,2,1,20,1,0,1,1,0,2,0,0,0,9,0,0,
2396,Samir Santos,br BRA,DF,Watford,eng Premier League,26,1994,18.6,24,11,18,6,0,8,19,42.1,11,21,11,10,43,67,85,3,0,8,2,25,0.43,0.11,0,0,13,0,0,0,0.6,0.6,0.07,-0.6,-0.6,7,0.38,4,0,0,2,1,0,0,0,0,0,0,0,0,0,538,669,80.4,10401,3672,185,202,91.6,292,328,89,55,125,44,0,0.1,0.1,-0.1,2,27,2,0,21,19,19,1673,0,4,0,0,0,0,0,0,0.7,0.03,0,0.04,0.03,0.04,655,12,12,0,5,0,0,0,0,0,0,2,3,868,116,546,310,18,10,868,2,3,66.7,6,3,450,2,0,17,16,0,11,0,0,0,103,47,34,58
2397,Samir Santos,br BRA,DF,Udinese,it Serie A,26,1994,15.8,36,16,22,13,1,15,25,60,10,21,7,14,42,78,62,0,0,7,3,42.9,0.44,0.19,0,0,12.8,0,0,0,0.9,0.9,0.13,-0.9,-0.9,11,0.7,7,1,0,2,0,1,2,0.13,1,0,0,1,0,0,535,688,77.8,9395,3682,235,269,87.4,243,287,84.7,47,106,44.3,0,0.1,0.1,-0.1,3,32,3,2,34,17,17,1421,0,5,0,0,0,0,0,0,1,0.06,0.01,0.06,0.06,0.06,621,66,26,0,4,12,37,0,0,0,0,1,11,866,92,411,407,54,9,866,3,5,60,9,3,475,5,0,33,16,0,16,0,0,0,77,40,17,70.2
2398,Sergio Santos,es ESP,DF,Real Madrid,es La Liga,20,2001,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,2,16.36,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100,136,39,4,4,100,3,3,100,1,1,100,0,0.1,0,-0.1,1,0,1,1,0,1,0,11,0,0,0,0,0,0,0,0,0.1,0,0.48,0.48,0,0.48,7,1,0,0,0,1,1,0,0,0,0,0,0,8,0,3,4,1,0,8,0,0,,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
2399,Alvaro Sanz,es ESP,MF,Barcelona,es La Liga,20,2001,0.3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,1,3.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11,13,84.6,175,35,5,6,83.3,6,6,100,0,1,0,0,0,0,0,1,1,0,0,1,2,0,29,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08,12,1,0,0,0,0,1,0,0,0,0,0,0,14,0,3,6,5,0,14,0,1,0,0,0,11,0,0,0,1,0,0,0,0,0,2,0,0,
